id,title_english,title_romaji,genres,averageScore,format,popularity,title
3898,Mazinger Z vs. Devilman,Mazinger Z vs. Devilman,Adventure Mecha Sci-Fi,57.0,MOVIE,1774,Mazinger Z vs. Devilman
3915,Time Fighters,Time Bokan,Adventure Comedy Mecha,54.0,TV,1125,Time Fighters
4250,That is an UFO! The Flying Saucer,Kore ga UFO da! Soratobu Enban,Sci-Fi,49.0,MOVIE,710,That is an UFO! The Flying Saucer
4486,Getter Robo G,Getter Robo G,Mecha,62.0,TV,1355,Getter Robo G
4615,Fables of the Green Forest,Yama Nezumi Rocky Chuck,Adventure Fantasy Slice of Life,52.0,TV,891,Fables of the Green Forest
4808,Hurricane Polymar,Hurricane Polymar,Action Adventure Comedy Sci-Fi,62.0,TV,1284,Hurricane Polymar
4810,Neo Human Casshan,Shinzou Ningen Casshern,Action Mecha Sci-Fi,62.0,TV,2769,Neo Human Casshan
4935,Ikkyu the Little Monk,Ikkyuu-san,Comedy,67.0,TV,853,Ikkyu the Little Monk
5104,Adventures of Pepero the Andes Boy,Andes Shounen Pepero no Bouken,Adventure,57.0,TV,493,Adventures of Pepero the Andes Boy
5267,Gamba's Adventure,Gamba no Bouken,Adventure,73.0,TV,2714,Gamba's Adventure
5311,Astroganger,Astroganger,Action Adventure Mecha Sci-Fi,51.0,TV,672,Astroganger
5618,The Gutsy Frog,Dokonjou Gaeru,Comedy,66.0,TV,1017,The Gutsy Frog
5658,Great Mazinger,Great Mazinger,Mecha,67.0,TV,2369,Great Mazinger
6311,Sarutobi Ecchan,Sarutobi Ecchan,Comedy Mahou Shoujo,63.0,TV,541,Sarutobi Ecchan
6383,Chargeman Ken,Chargeman Ken!,Action Adventure Sci-Fi Supernatural,41.0,TV_SHORT,2095,Chargeman Ken
7257,A Poet's Life,Shijin no Shougai,Drama Fantasy Psychological,51.0,MOVIE,852,A Poet's Life
7398,World Famous Fairy Tale Series,Sekai Meisaku Douwa: Manga Series,Fantasy,45.0,SPECIAL,337,World Famous Fairy Tale Series
7479,Karate Master,Karate Baka Ichidai,Action Adventure Drama Sports,58.0,TV,835,Karate Master
7713,The Monkey and the Crab,Nihon Mukashi-banashi: Sarukani,Fantasy,40.0,MOVIE,240,The Monkey and the Crab
7779,Hans Christian Andersen Stories,Andersen Monogatari,Fantasy,59.0,TV,505,Hans Christian Andersen Stories
8139,The New Adventures of Hutch the Honeybee,Konchuu Monogatari: Shin Minashigo Hutch,Adventure Comedy Drama,59.0,TV,429,The New Adventures of Hutch the Honeybee
8240,Kum Kum,Wanpaku Oomukashi Kum Kum,Adventure Comedy,49.0,TV,505,Kum Kum
11693,The Little Match Girl,Match Uri no Shoujo,Drama,51.0,MOVIE,433,The Little Match Girl
15021,Yuki's Sun,Yuki no Taiyou Pilot,Drama,52.0,SPECIAL,1461,Yuki's Sun
102668,Beautiful Planet,Utsukushii Hoshi,,43.0,MOVIE,240,Beautiful Planet
102673,The Bride Stripped Bare by Her Bachelors,Kanojo no Dokushinsha-tachi ni Yotte Hadaka ni Sareta Seifuku no Shoujo Kenkyuu,Music,31.0,MOVIE,460,The Bride Stripped Bare by Her Bachelors
102981,The Tree of Courage,Mochi Mochi no Ki,Drama,44.0,MOVIE,221,The Tree of Courage
103492,Phenakistoscope,Odoroki Ban,,38.0,MOVIE,295,Phenakistoscope
111954,"Panda! Go, Panda!: Rainy Day Circus",Panda Kopanda: Amefuri Circus no Maki,Adventure Comedy Fantasy Slice of Life,59.0,MOVIE,807,"Panda! Go, Panda!: Rainy Day Circus"
113576,The Traveling Companion,Tabi wa Michizure Yo wa Nasake,Comedy,38.0,MOVIE,172,The Traveling Companion
80,Mobile Suit Gundam,Kidou Senshi Gundam,Drama Mecha Sci-Fi,76.0,TV,42918,Mobile Suit Gundam
283,Anne of Green Gables,Akage no Anne,Drama Slice of Life,80.0,TV,15875,Anne of Green Gables
302,Future Boy Conan,Mirai Shounen Conan,Adventure Drama Sci-Fi,78.0,TV,14432,Future Boy Conan
313,Aim for the Ace!: The Movie,Ace wo Nerae! (1979),Drama Romance Sports,68.0,MOVIE,2256,Aim for the Ace!: The Movie
338,Lady Oscar: The Rose of Versailles,Versailles no Bara,Adventure Drama Romance,81.0,TV,31475,Lady Oscar: The Rose of Versailles
711,Space Battleship Yamato,Uchuu Senkan Yamato (Movie),Drama Sci-Fi,65.0,MOVIE,2570,Space Battleship Yamato
930,Space Runaway Ideon,Densetsu Kyojin Ideon,Drama Mecha Sci-Fi,72.0,TV,9835,Space Runaway Ideon
956,Dino Mech Gaiking,Daikuu Maryuu Gaiking,Adventure Mecha Sci-Fi,65.0,TV,1101,Dino Mech Gaiking
1000,Captain Harlock Space Pirate,Uchuu Kaizoku Captain Harlock,Action Adventure Drama Sci-Fi,73.0,TV,11200,Captain Harlock Space Pirate
1068,Combattler V,Chou Denji Robo Combattler V,Adventure Mecha Sci-Fi,65.0,TV,2159,Combattler V
1069,VOLTES V,Chou Denji Machine Voltes V,Adventure Drama Mecha Sci-Fi,69.0,TV,2837,VOLTES V
1208,Taro the Dragon's Son,Tatsu no Ko Tarou,Adventure Fantasy,62.0,MOVIE,1403,Taro the Dragon's Son
1236,Spaceketeers,SF Saiyuuki Starzinger,Adventure Mecha Sci-Fi,60.0,TV,824,Spaceketeers
1301,Galaxy Express 999 (Movie),Ginga Tetsudou 999 (Movie),Adventure Drama Mecha Sci-Fi,73.0,MOVIE,7249,Galaxy Express 999 (Movie)
1425,Lupin the 3rd Part 2,Lupin III: Part II,Action Adventure Comedy Mystery,75.0,TV,10977,Lupin the 3rd Part 2
1430,Lupin The 3rd: The Castle of Cagliostro,Lupin III: Cagliostro no Shiro,Action Adventure Comedy Mystery,80.0,MOVIE,30237,Lupin The 3rd: The Castle of Cagliostro
1435,Lupin III: The Secret of Mamo,Lupin III: Lupin vs Clone,Adventure Comedy Mystery Sci-Fi,69.0,MOVIE,5742,Lupin III: The Secret of Mamo
1491,Galaxy Express 999,Ginga Tetsudou 999,Adventure Drama Mecha Sci-Fi,75.0,TV,14709,Galaxy Express 999
1651,Star Blazers: The Comet Empire,Uchuu Senkan Yamato 2,Drama Sci-Fi,71.0,TV,2709,Star Blazers: The Comet Empire
1652,Star Blazers: The Bolar Wars,Uchuu Senkan Yamato III,Drama Sci-Fi,68.0,TV,2176,Star Blazers: The Bolar Wars
1663,3000 Leagues in Search of Mother,Haha wo Tazunete Sanzenri,Adventure Drama,72.0,TV,4648,3000 Leagues in Search of Mother
1737,Space Warrior Baldios,Uchuu Senshi Baldios,Adventure Drama Mecha Sci-Fi,68.0,TV,1592,Space Warrior Baldios
1986,Dangard Ace,Wakusei Robo Danguard Ace,Mecha Sci-Fi,62.0,TV,862,Dangard Ace
2151,The Wonderful Adventures of Nils Holgersson,Nils no Fushigi na Tabi,Adventure Fantasy,66.0,TV,2105,The Wonderful Adventures of Nils Holgersson
2199,Ringing Bell,Chirin no Suzu,Adventure Drama Fantasy,70.0,MOVIE,5648,Ringing Bell
2230,Angel,Hana no Ko Lunlun,Adventure Drama Mahou Shoujo,66.0,TV,2034,Angel
2428,Unico: Black Rain and White Feather,Unico: Kuroi Kumo Shiroi Hane,Adventure Fantasy,61.0,MOVIE,948,Unico: Black Rain and White Feather
2470,Space Pirate Captain Harlock: Riddle of the Arcadia Episode,Uchuu Kaizoku Captain Harlock: Arcadia-gou no Nazo,Action Sci-Fi,64.0,MOVIE,1779,Space Pirate Captain Harlock: Riddle of the Arcadia Episode
2471,Doraemon,Doraemon (1979),Comedy Sci-Fi,76.0,TV_SHORT,13169,Doraemon
2560,Toward the Terra,Terra e...,Action Drama Sci-Fi,61.0,MOVIE,4743,Toward the Terra
2576,Raccoon Rascal,Araiguma Rascal,Drama Slice of Life,64.0,TV,1431,Raccoon Rascal
2577,The Adventures of Tom Sawyer,Tom Sawyer no Bouken,Adventure Drama Slice of Life,69.0,TV,3233,The Adventures of Tom Sawyer
2618,Treasure Island,Takarajima,Adventure Drama Mystery,77.0,TV,7296,Treasure Island
2629,Doraemon and Itchy the Stray,Doraemon and Itchy the Stray,Comedy,59.0,SPECIAL,670,Doraemon and Itchy the Stray
2630,Doraemon Meets Hattori the Ninja,Doraemon Meets Hattori the Ninja,Comedy,63.0,SPECIAL,893,Doraemon Meets Hattori the Ninja
2632,Doraemon's Time Capsule for 2001,Doraemon's Time Capsule for 2001,Comedy,57.0,SPECIAL,432,Doraemon's Time Capsule for 2001
2634,Doraemon: Come Back Doraemon,Doraemon: Come Back Doraemon,Comedy,68.0,SPECIAL,1356,Doraemon: Come Back Doraemon
2635,Doraemon: Featherplace,Doraemon: Featherplace,Comedy Fantasy,57.0,SPECIAL,466,Doraemon: Featherplace
